,file,size(byte),size(MB),size(GB),atime,mtime,ctime
74,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\25\82f95d1594c6d77eb20b10037b123c7da3f289,202,0,0,2022-08-21 11:50:20,2022-08-20 18:23:08,2022-08-20 18:23:08
75,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\25\d3b0a2b3aa1e43b03c665d7556080ef0421fb1,172,0,0,2022-09-04 11:58:54,2022-08-08 16:45:35,2022-08-08 16:45:35
76,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\25\f86edf4872490fba3c538b3d430511ba783256,2245,0,0,2022-08-20 19:05:32,2022-08-15 13:42:08,2022-08-15 13:42:08
77,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\27\5152db9256c532eb5ddee21a4913cf500bbe4f,91,0,0,2022-08-20 19:05:32,2022-07-30 17:22:44,2022-07-30 17:22:44
78,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\27\7ae89cc89cb50fe0b3e89bf2f2634cf8e0cf02,149,0,0,2022-08-20 19:05:32,2022-08-14 12:35:15,2022-08-14 12:35:15
79,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\28\31697b9ab71f06753f89257967a7bb0129f2ae,150,0,0,2022-08-20 19:05:32,2022-08-14 16:50:16,2022-08-14 16:50:16
80,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\28\33a39d3588182ef5d2377d90d868fcbb692bd2,198,0,0,2022-09-04 11:58:54,2022-08-02 18:16:02,2022-08-02 18:16:02
81,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2a\17982295f35ae96169c7129d854414237b60d5,91,0,0,2022-08-20 19:05:32,2022-07-30 21:41:52,2022-07-30 21:41:52
82,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2a\2ff400344f5395af419722fd3d9b0f61c1f6ba,168,0,0,2022-09-04 11:58:54,2022-08-21 16:41:24,2022-08-21 16:41:24
83,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2a\f9b541a5402273ac7e66ad9092105efc818049,4638,0,0,2022-08-26 18:37:36,2022-08-21 11:50:18,2022-08-21 11:50:18
84,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2a\fd475da5059061aa202e56c88fe16802b2027a,91,0,0,2022-08-20 19:05:32,2022-07-29 21:27:50,2022-07-29 21:27:50
85,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2b\e727bf80435eff7eb0b8f03990d86146cb3618,114,0,0,2022-08-20 19:05:32,2022-07-31 22:14:43,2022-07-31 22:14:43
